"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",23,15.1086956521739,2.66269054691239,16,10,20
"2",0,1,"2",18,14.9444444444444,3.05772353273058,14.5,8,19
"3",0,1,"3",12,17.6666666666667,2.90245455162392,18,10,20
"4",0,2,"1",25,14.65333333336,2.84878141588333,14,10,20
"5",0,2,"2",10,15.6,2.45854518861144,15.5,12,19
"6",0,2,"3",4,17.5,2.38047614284762,18.5,14,19
"7",0,3,"1",22,15.0545454545455,3.25265126623502,15.5,7,19
"8",0,3,"2",17,15.6235294117647,2.81680879093805,16.6,11,19
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,14.5,2.66458251889485,15,10,17
"11",1,1,"2",3,15.6666666666667,3.21455025366432,17,12,18
"12",1,1,"3",4,16.25,1.5,16,15,18
"13",1,2,"1",3,12.3333333333333,4.04145188432738,13,8,16
"14",1,2,"2",2,17,4.24264068711928,17,14,20
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,13,3.53553390593274,13,9,17
"17",1,3,"2",4,14.5,2.64575131106459,14,12,18
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
