"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",15,41.2666666666667,6.91237675340055,45,32,53
"2",0,1,"2",16,43.1875,11.2854995458774,41,28,70
"3",0,1,"3",14,43.5,7.86178683937006,43.5,30,55
"4",0,2,"1",17,36.4117647058824,6.45231376648536,35,28,53
"5",0,2,"2",9,36.6666666666667,10.0498756211209,35,28,61
"6",0,2,"3",5,35.4,7.05691150575094,34,28,45
"7",0,3,"1",18,43.3888888888889,8.43060872053097,43.5,28,58
"8",0,3,"2",22,39.6363636363636,11.1720120306887,37.5,28,61
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",5,34.8,9.95991967839099,28,28,50
"11",1,1,"2",4,36.5,11.3871272350258,32.5,28,53
"12",1,1,"3",5,32,3.67423461417477,34,28,35
"13",1,2,"1",2,39.5,7.77817459305202,39.5,34,45
"14",1,2,"2",2,43,21.2132034355964,43,28,58
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",3,41.6666666666667,7.63762615825973,40,35,50
"17",1,3,"2",4,37.5,7.14142842854285,36.5,30,47
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
