"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,8.13194444444444,1.04341640483598,8.25,6,9.75
"2",0,1,"2",18,8.73611111111111,0.963487842958806,8.70833333333333,6.08333333333333,10
"3",0,1,"3",13,8.53205128205128,0.772455846109041,8.75,6.83333333333333,9.83333333333333
"4",0,2,"1",25,7.99878787878788,1.13833515845116,8.33333333333333,4.5,9.25
"5",0,2,"2",11,8.12121212121212,1.13429103920297,8.16666666666667,5.41666666666667,9.66666666666667
"6",0,2,"3",5,8.5,0.580349511549338,8.16666666666667,8,9.25
"7",0,3,"1",22,8.3064738292011,1.02117949064064,8.33333333333334,6.41666666666667,9.83333333333333
"8",0,3,"2",20,8.26666666666667,0.803228136083698,8.29166666666666,7.25,9.83333333333333
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,7.48611111111111,1.66951146103239,7.83333333333333,5.16666666666667,9.83333333333333
"11",1,1,"2",5,8.41666666666667,1.5,8.66666666666667,6.58333333333333,9.83333333333333
"12",1,1,"3",5,7.36666666666667,1.87323991463394,8,4.25,8.83333333333333
"13",1,2,"1",3,8.5,0.75,8.5,7.75,9.25
"14",1,2,"2",2,7.70833333333333,0.176776695296637,7.70833333333333,7.58333333333333,7.83333333333333
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,8.70075757575758,1.2140530691064,8.77651515151516,7.41666666666667,9.83333333333333
"17",1,3,"2",2,8.54166666666666,1.70884138786749,8.54166666666666,7.33333333333333,9.75
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
