"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",24,11.3455882352941,8.42416296873339,9.5,1,37
"2",0,1,"2",18,5.83333333333333,4.91396569214005,4.5,0,19
"3",0,1,"3",13,7.07692307692308,5.55969930933827,8,0,19
"4",0,2,"1",25,12.946,6.13544891049818,13,2.25,24
"5",0,2,"2",11,11.0909090909091,5.55795907603763,10,4,20
"6",0,2,"3",5,9.2,8.1363382427232,5,2,19
"7",0,3,"1",22,10.4521008403361,5.87921699980481,9.26470588235294,1,20
"8",0,3,"2",20,10.2,8.36408361608384,9,1,36
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,17.552380952381,10.6837686031019,19,3.08571428571429,29
"11",1,1,"2",5,14.6,9.96493853468249,10,7,31
"12",1,1,"3",5,15.8685714285714,8.63551281816275,14,5,28
"13",1,2,"1",3,30.6666666666667,11.3724814061547,34,18,40
"14",1,2,"2",2,25.5,26.1629509039023,25.5,7,44
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",4,16.5,7.04745817062199,15.5,9,26
"17",1,3,"2",2,19,4.24264068711928,19,16,22
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
