"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",23,47.5495357593202,16.28651154987,43.75,20,82.3529411764706
"2",0,1,"2",18,52.0980367444547,12.6239698291214,54.0584415584415,33.3333333333333,75
"3",0,1,"3",13,59.4290019773891,23.0830913221732,66.6666666666667,14.2857142857143,85
"4",0,2,"1",26,47.2665926539706,17.804178257146,41.8859649122807,16,78.5714285714286
"5",0,2,"2",10,54.7873811641181,26.1693047989159,66.7641325536062,9.75609756097561,79.1666666666667
"6",0,2,"3",5,65.4037084022091,15.5898354464796,65.5172413793103,47.8260869565217,88.8888888888889
"7",0,3,"1",23,49.4058211332286,13.8639134836646,48.2758620689655,25,76
"8",0,3,"2",19,50.3540037736356,14.9463066747361,47.0588235294118,28.9473684210526,78.5714285714286
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,45.1160714285714,8.19028909496996,45,34,53.5714285714286
"11",1,1,"2",3,58.4491531859953,8.70346777552815,54.5454545454545,52.3809523809524,68.4210526315789
"12",1,1,"3",5,40.0519480519481,26.7419910756946,28.5714285714286,10,78.5714285714286
"13",1,2,"1",3,41.0310195779303,21.1939714884018,47.3684210526316,17.3913043478261,58.3333333333333
"14",1,2,"2",2,37.8306878306878,19.8289203189878,37.8306878306878,23.8095238095238,51.8518518518518
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,47.7790309106099,15.2736953141586,55.5555555555556,26.3157894736842,62.8571428571429
"17",1,3,"2",3,46.3268326198404,32.5755701591558,45.2830188679245,14.2857142857143,79.4117647058823
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
