"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",23,13.6739130434783,2.73698862244029,13,9,18
"2",0,1,"2",18,15.1666666666667,2.8748401490088,16,9,20
"3",0,1,"3",12,15.25,2.37888438329628,15.5,10,19
"4",0,2,"1",25,13.32,2.65706605111728,13,9,18
"5",0,2,"2",10,15.6,3.23865541373097,16,11,20
"6",0,2,"3",4,14.5,2.38047614284762,15.5,11,16
"7",0,3,"1",22,13.6181818181818,3.15136196763911,13.5,7,19
"8",0,3,"2",17,14.9529411764706,3.42967156719467,14,10,20
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,11.1666666666667,3.06050104830347,11.5,7,16
"11",1,1,"2",3,15.6666666666667,2.3094010767585,17,13,17
"12",1,1,"3",4,13.5,2.51661147842358,14,10,16
"13",1,2,"1",3,11.6666666666667,4.61880215351701,9,9,17
"14",1,2,"2",2,15.5,3.53553390593274,15.5,13,18
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,12.4,2.88097205817759,12,10,17
"17",1,3,"2",4,12,1.63299316185545,12,10,14
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
