"","asdcase","group","time","n","mean","sd","median","min","max"
"1",0,1,"1",23,6.76086956521739,2.33486210035368,6,5,14
"2",0,1,"2",18,5.27777777777778,0.574513149960142,5,5,7
"3",0,1,"3",12,5.25,0.452267016866645,5,5,6
"4",0,2,"1",25,7.36,2.3607908279501,7,5,12
"5",0,2,"2",10,6.9,2.18326971917504,6.5,5,11
"6",0,2,"3",4,7.25,2.21735578260835,7,5,10
"7",0,3,"1",22,7.25454545454545,1.91155067262837,7,5,10
"8",0,3,"2",17,6.64705882352941,1.83511499880076,6,5,11
"9",0,3,"3",0,NA,NA,NA,Inf,-Inf
"10",1,1,"1",6,7,2.5298221281347,6,5,12
"11",1,1,"2",3,5.33333333333333,0.577350269189626,5,5,6
"12",1,1,"3",4,6,1.4142135623731,5.5,5,8
"13",1,2,"1",3,9,3.60555127546399,10,5,12
"14",1,2,"2",2,7,2.82842712474619,7,5,9
"15",1,2,"3",0,NA,NA,NA,Inf,-Inf
"16",1,3,"1",5,8.4,3.04959013639538,8,5,12
"17",1,3,"2",4,6.8,1.32664991614216,7,5,8.2
"18",1,3,"3",0,NA,NA,NA,Inf,-Inf
